Source_ID,Target_ID,Edge type,Weight,Source_Name,Target_Name,Date,Total no. sender:,Total no. recipient:,ID Letters 1916,Item type,Contributor,
#N/A,per_028,directed,1,E. O'Sullivan,Ellen Daly,6 April 1923,1,80,7.json305 , Letter ,Kerry Library Tralee,
per_027,per_028,directed,1,Elizabeth Whelan,Ellen Daly,[March 1923],6,80,6487,Letter ,Kerry Library Tralee,
per_027,per_013,directed,1,Elizabeth Whelan,Charlie / Cormac Daly,16 February 1923,6,90,6486,Letter ,Kerry Library Tralee,
per_027,per_013,directed,1,Elizabeth Whelan,Charlie / Cormac Daly,24 January 1923,6,90,6286,Letter ,Kerry Library Tralee,
per_027,per_028,directed,1,Elizabeth Whelan,Ellen Daly,27 June 1923,6,80,6489,Letter ,Kerry Library Tralee,
per_027,per_028,directed,1,Elizabeth Whelan,Ellen Daly,27 March 1923,6,80,6488,Letter ,Kerry Library Tralee,
per_027,per_028,directed,1,Elizabeth Whelan,Ellen Daly,March 1923],6,80,7.json435 , Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,11 February 1923,16,90,6221,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,15 January 1923,16,90,6218,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,16 November 1922,16,90,6205,Letter,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,19 December 1922,16,90,6211,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,21 February 1923,16,90,6224,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,21 January 1923,16,90,6284,Letter ,Kerry Library Tralee,
per_028,per_094,directed,1,Ellen Daly,Susan Daly,24 April 1923,16,23,6417,Letter ,Kerry Library Tralee,
